actual_origin_rate,actual_plan_rate,band,bp,day_string,item_sku_id,supp_brevity_cd,supp_name,vlt,z_value
0.39669421487603307,1.0,D,38.7351841922,2016-10-08 00:00:00,1072951,bjcwgsm,北京承文阁贸易有限公司,8,-0.140474359774
0.67289719626168221,1.0,D,81.0764339192,2016-10-12 00:00:00,1072951,bjcwgsm,北京承文阁贸易有限公司,13,1.9787823968
0.96969696969696972,1.0,D,29.3205915454,2016-10-18 00:00:00,1072951,bjcwgsm,北京承文阁贸易有限公司,6,21.6209744565
0.68181818181818177,1.0,B,18.3838890282,2016-07-26 00:00:00,1072952,bjcwgsm,北京承文阁贸易有限公司,4,16.3513657398
0.87804878048780488,1.0,B,8.00559740957,2016-08-02 00:00:00,1072952,bjcwgsm,北京承文阁贸易有限公司,6,17.5495089971
0.93975903614457834,1.0,B,30.046638658,2016-08-08 00:00:00,1072952,bjcwgsm,北京承文阁贸易有限公司,9,4.67189254435
0.46715328467153283,1.0,B,24.7695930645,2016-08-15 00:00:00,1072952,bjcwgsm,北京承文阁贸易有限公司,4,38.928398943
0.0,,B,24.9693638302,2016-08-22 00:00:00,1072952,bjcwgsm,北京承文阁贸易有限公司,5,45.6706067292
0.59405940594059403,1.0,B,28.2548701185,2016-09-01 00:00:00,1072952,bjcwgsm,北京承文阁贸易有限公司,10,8.9734408728
0.0,,B,36.873625186,2016-09-12 00:00:00,1072952,bjcwgsm,北京承文阁贸易有限公司,5,28.6563373941
0.15254237288135594,0.5,B,37.2163436519,2016-09-20 00:00:00,1072952,bjcwgsm,北京承文阁贸易有限公司,3,21.084922035
0.967741935483871,1.0,B,35.7718886456,2016-09-27 00:00:00,1072952,bjcwgsm,北京承文阁贸易有限公司,3,12.0149150419
0.94736842105263153,1.0,B,17.5459860671,2016-10-08 00:00:00,1072952,bjcwgsm,北京承文阁贸易有限公司,8,27.7989030592
0.1752988047808765,0.36666666666666664,B,40.3980126604,2016-10-12 00:00:00,1072952,bjcwgsm,北京承文阁贸易有限公司,13,25.9927033018
0.0,,B,28.206333604,2016-10-18 00:00:00,1072952,bjcwgsm,北京承文阁贸易有限公司,6,62.7212926659
0.98181818181818181,1.0,C,41.1153472378,2016-07-26 00:00:00,1072953,bjcwgsm,北京承文阁贸易有限公司,4,-2.9400921659
1.0,1.0,C,7.52246842543,2016-08-08 00:00:00,1072953,bjcwgsm,北京承文阁贸易有限公司,9,13.8272575145
0.0,,C,10.6449332613,2016-08-15 00:00:00,1072953,bjcwgsm,北京承文阁贸易有限公司,4,19.2522258003
0.0,,C,50.2877956956,2016-08-22 00:00:00,1072953,bjcwgsm,北京承文阁贸易有限公司,5,8.55142554209
0.69767441860465118,1.0,C,49.5358890396,2016-09-01 00:00:00,1072953,bjcwgsm,北京承文阁贸易有限公司,10,-3.23289855392
0.0,,C,15.410061743,2016-09-12 00:00:00,1072953,bjcwgsm,北京承文阁贸易有限公司,5,13.9643106544
0.17777777777777778,1.0,C,30.6435137896,2016-09-20 00:00:00,1072953,bjcwgsm,北京承文阁贸易有限公司,3,9.59577733023
0.70588235294117652,1.0,C,29.3249000287,2016-09-27 00:00:00,1072953,bjcwgsm,北京承文阁贸易有限公司,3,10.6431003156
0.7142857142857143,1.0,C,35.905395694,2016-10-08 00:00:00,1072953,bjcwgsm,北京承文阁贸易有限公司,8,6.85642662474
0.14634146341463414,0.25,C,49.1082205134,2016-10-12 00:00:00,1072953,bjcwgsm,北京承文阁贸易有限公司,13,20.1162785752
0.0,,C,33.3068069331,2016-10-18 00:00:00,1072953,bjcwgsm,北京承文阁贸易有限公司,6,45.4109536488
1.0,1.0,Z,16.9008133516,2016-07-26 00:00:00,1072954,bjcwgsm,北京承文阁贸易有限公司,4,-1.41105302465
1.0,1.0,Z,26.5284566825,2016-08-02 00:00:00,1072954,bjcwgsm,北京承文阁贸易有限公司,6,-0.0360899864591
0.0,,Z,46.7775467775,2016-08-31 00:00:00,1072954,bjcwgsm,北京承文阁贸易有限公司,4,-1.84537815126
1.0,1.0,Z,57.9290369298,2016-09-05 00:00:00,1072954,bjcwgsm,北京承文阁贸易有限公司,6,-2.1676908161
1.0,1.0,Z,59.2132505176,2016-10-12 00:00:00,1072954,bjcwgsm,北京承文阁贸易有限公司,13,10.6770911029
1.0,1.0,E,19.149445464,2016-08-02 00:00:00,1072955,bjcwgsm,北京承文阁贸易有限公司,6,3.50567301757
1.0,1.0,E,47.2347962999,2016-08-23 00:00:00,1072955,bjcwgsm,北京承文阁贸易有限公司,4,-1.28773504997
1.0,1.0,E,49.6726123278,2016-09-20 00:00:00,1072955,bjcwgsm,北京承文阁贸易有限公司,3,5.76997062477
