arrive_time	item_sku_id	arrive_quantity	int_org_num
2017-01-22	1023878	300	4
2017-01-22	1023884	24	4
2017-01-22	1023897	144	4
2017-01-22	1024432	29	4
2017-01-22	1024617	3	4
2017-01-22	1024623	95	4
2017-01-22	1024624	60	4
2017-01-22	1025469	0	4
2017-01-22	1025472	2	4
2017-01-22	1025476	15	4
2017-01-23	1000055710	275	4
2017-01-23	1000055733	339	4
2017-01-23	1000055734	302	4
2017-01-23	100077	32	4
2017-01-23	1001131255	61	4
2017-01-23	1001131272	50	4
2017-01-23	1001131322	36	4
2017-01-23	1001420	7	4
2017-01-23	100143	4	4
2017-01-23	1002071	40	4
2017-01-23	1002650	10	4
2017-01-23	1003061	2000	4
2017-01-23	1003460	9	4
2017-01-23	1004200	10	4
2017-01-23	1004811	15	4
2017-01-23	1006808	20	4
2017-01-23	1007094	140	4
2017-01-23	1007108	10	4
2017-01-23	1008346	8	4
2017-01-23	1008452	17	4
2017-01-23	1009196	4	4
2017-01-23	1010133	11	4
2017-01-23	1011043	67	4
2017-01-23	1012451	50	4
2017-01-23	1015091	60	4
2017-01-23	1015092	50	4
2017-01-23	1015234	15	4
2017-01-23	1017675	9	4
2017-01-23	1017677	30	4
2017-01-23	1019913	0	4
2017-01-23	1019918	10	4
2017-01-23	1020092	10	4
2017-01-23	1020422	24	4
2017-01-23	1021352	5	4
2017-01-23	1022439	28	4
2017-01-23	1023241	0	4
2017-01-23	1023884	5	4
2017-01-23	1023890	35	4
2017-01-23	1024620	17	4
2017-01-23	1024675	20	4
2017-01-23	1025459	3	4
2017-01-24	1001120240	24	4
2017-01-24	1001230650	16	4
2017-01-24	1001282	2	4
2017-01-24	1001283	40	4
2017-01-24	1001297	40	4
2017-01-24	1001385	20	4
2017-01-24	1001949	120	4
2017-01-24	1002406	0	4
2017-01-24	1003204	3	4
2017-01-24	1003442	3	4
2017-01-24	1003460	2	4
2017-01-24	1004234	60	4
2017-01-24	1004513	6	4
2017-01-24	1007315	4	4
2017-01-24	1009738	2	4
2017-01-24	1010322	40	4
2017-01-24	1010693	317	4
2017-01-24	1010774	44	4
2017-01-24	1010779	72	4
2017-01-24	1013983	20	4
2017-01-24	1014162	60	4
2017-01-24	1014169	60	4
2017-01-24	1015074	80	4
2017-01-24	1017565	35	4
2017-01-24	1017574	50	4
2017-01-24	1020541924	105	4
2017-01-24	1020954	12	4
2017-01-24	1021000	2	4
2017-01-24	1022456037	100	4
2017-01-24	1024714	3	4
2017-01-24	1024721	10	4
2017-01-24	1025025	80	4
2017-01-24	1025520	99	4
2017-01-25	1000867311	8	4
2017-01-25	1001301	24	4
2017-01-25	1006889	350	4
2017-01-25	1006891	370	4
2017-01-25	1006893	150	4
2017-01-25	1006894	280	4
2017-01-25	1013234	16	4
2017-01-25	1014622	10	4
2017-01-25	1015074	150	4
2017-01-25	1021000	48	4
2017-01-25	1024370	15	4
2017-01-25	1024580	50	4
2017-01-26	1000103010	60	4
2017-01-26	1000103012	200	4
2017-01-26	1000103013	20	4
2017-01-26	1000103014	20	4
2017-01-26	1000103075	10	4
2017-01-26	1000103088	60	4
2017-01-26	1000335182	300	4
2017-01-26	1000335207	60	4
2017-01-26	1000336420	30	4
2017-01-26	1001180	5	4
2017-01-26	1001208	25	4
2017-01-26	1001210	25	4
2017-01-26	1001805	3	4
2017-01-26	1003062	60	4
2017-01-26	1014026380	48	4
2017-01-26	1015074	110	4
2017-01-26	1015091	10	4
2017-01-26	1016707358	20	4
2017-01-26	1021352	5	4
2017-01-27	1001805	1	4
2017-01-28	1001805	1	4
2017-01-29	1001805	1	4
2017-01-30	1001805	1	4
2017-01-31	1001805	1	4
2017-02-01	1001805	4	4
2017-02-02	1001805	3	4
2017-02-03	1001805	2	4
2017-02-04	1001805	4	4
2017-02-04	1007278	1	4
2017-02-04	101085	10	4
2017-02-04	1014565	0	4
2017-02-05	1001805	5	4
2017-02-05	1002065	40	4
2017-02-05	1022328	58	4
2017-02-06	1001805	8	4
2017-02-06	1006825	870	4
2017-02-07	1001796	1	4
2017-02-07	1001805	7	4
2017-02-07	1013910	120	4
2017-02-07	1013950	39	4
2017-02-07	1015016	28	4
2017-02-07	1020749405	20	4
2017-02-08	1000274	12	4
2017-02-08	1000841	40	4
2017-02-08	1001799	1	4
2017-02-08	1001805	3	4
2017-02-08	1003055	348	4
2017-02-08	1003066	1100	4
2017-02-08	1003080	240	4
2017-02-08	1004458	16	4
2017-02-08	1009879	30	4
2017-02-08	1012567	560	4
2017-02-08	1012569	800	4
2017-02-08	1012573	40	4
2017-02-08	1012582	80	4
2017-02-08	1016821	0	4
2017-02-08	1021066	12	4
2017-02-08	1021067	12	4
2017-02-08	1022146	1120	4
2017-02-08	1023902	0	4
2017-02-08	1024659	30	4
2017-02-09	1001178867	800	4
2017-02-09	1001187297	600	4
2017-02-09	1001805	3	4
2017-02-09	1003055	360	4
2017-02-09	1003061	2000	4
2017-02-09	1003066	2200	4
2017-02-09	1003460	30	4
2017-02-09	1004558	600	4
2017-02-09	1007176	1	4
2017-02-09	1009736	360	4
2017-02-09	1009750	2004	4
2017-02-09	1009752	180	4
2017-02-09	1010289	104	4
2017-02-09	1010290	12	4
2017-02-09	1012135	60	4
2017-02-09	1017541	1	4
2017-02-09	1020704	2	4
2017-02-09	1021030	0	4
2017-02-09	1021047	840	4
2017-02-09	1021585	5	4
2017-02-09	1021674	3	4
2017-02-09	1021675	1	4
2017-02-09	1021680	0	4
2017-02-09	1021786	1	4
2017-02-10	1001796	1	4
2017-02-10	1001805	8	4
2017-02-10	1003031	20	4
2017-02-10	1003055	240	4
2017-02-10	1003057	300	4
2017-02-10	1003061	1800	4
2017-02-10	1006759	30	4
2017-02-10	1007315	1	4
2017-02-10	1009197	30	4
2017-02-10	1010214	3	4
2017-02-10	1010271	24	4
2017-02-10	1010273	120	4
2017-02-10	1010277	60	4
2017-02-10	1012856949	20	4
2017-02-10	1012867015	20	4
2017-02-10	1012868463	40	4
2017-02-10	1012958	5	4
2017-02-10	1013060	2	4
2017-02-10	1014161	100	4
2017-02-10	1014565	0	4
2017-02-10	1021303	60	4
2017-02-10	1021306	60	4
2017-02-10	1021338	20	4
2017-02-10	1023247	75	4
2017-02-10	1023914	48	4
2017-02-10	1023923	24	4
2017-02-10	1023926	12	4
2017-02-10	1023946	100	4
2017-02-11	1000055710	1000	4
2017-02-11	1000210	60	4
2017-02-11	1001426	72	4
2017-02-11	1001796	1	4
2017-02-11	1001805	3	4
2017-02-11	1002650	80	4
2017-02-11	1002656	20	4
2017-02-11	1003831	0	4
2017-02-11	100418	288	4
2017-02-11	1004542	6	4
2017-02-11	1004777875	32	4
2017-02-11	1004804	130	4
2017-02-11	1004808	55	4
2017-02-11	1004811	47	4
2017-02-11	1004812	18	4
2017-02-11	1009834	134	4
2017-02-11	1012451	20	4
2017-02-11	1013234	7	4
2017-02-11	1013727	15	4
2017-02-11	1016355	888	4
2017-02-11	1016746191	0	4
2017-02-11	1017250	7	4
2017-02-11	1018873	15	4
2017-02-11	1021756	207	4
2017-02-11	1021819	0	4
2017-02-11	1022044	64	4
2017-02-11	1022581	0	4
2017-02-11	1023880	0	4
2017-02-11	1024432	30	4
2017-02-11	1024659	20	4
2017-02-11	1024661	12	4
2017-02-11	1024817	1	4
2017-02-12	1000232	1	4
2017-02-12	1001342450	10	4
2017-02-12	1001486072	25	4
2017-02-12	1001486714	20	4
2017-02-12	1001796	2	4
2017-02-12	1001805	6	4
2017-02-12	1002449	7	4
2017-02-12	1002664	2	4
2017-02-12	1002831501	40	4
2017-02-12	1002852	15	4
2017-02-12	1002890	18	4
2017-02-12	1002893	20	4
2017-02-12	1002899	20	4
2017-02-12	1002912	294	4
2017-02-12	1002921	16	4
2017-02-12	1003066	1400	4
2017-02-12	1003429761	150	4
2017-02-12	1003460	0	4
2017-02-12	1003487741	70	4
2017-02-12	1003648	10	4
2017-02-12	1004811	19	4
2017-02-12	1005251	8	4
2017-02-12	1006032	19	4
2017-02-12	1006899	24	4
2017-02-12	1008131	100	4
2017-02-12	1009758	20	4
2017-02-12	1010370	20	4
2017-02-12	1010377	0	4
2017-02-12	1010378	0	4
2017-02-12	1010693	96	4
2017-02-12	1012143	120	4
2017-02-12	1012153	294	4
2017-02-12	1012752	6	4
2017-02-12	1012906	945	4
2017-02-12	1014687520	100	4
2017-02-12	1016303	3	4
2017-02-12	1017103	19	4
2017-02-12	1017454	32	4
2017-02-12	1018485071	50	4
2017-02-12	1019819	15	4
2017-02-12	1021019	8400	4
2017-02-12	1021041	36	4
2017-02-12	1021585	5	4
2017-02-12	1021680	1	4
2017-02-12	1022456037	40	4
2017-02-13	100077	12	4
2017-02-13	1001268	42	4
2017-02-13	100143	8	4
2017-02-13	1001805	2	4
2017-02-13	1002065	40	4
2017-02-13	1003460	11	4
2017-02-13	1003629	0	4
2017-02-13	1003636	0	4
2017-02-13	1003760703	4	4
2017-02-13	100391	50	4
2017-02-13	100421	100	4
2017-02-13	100470	48	4
2017-02-13	1007176	6	4
2017-02-13	1010689	12	4
2017-02-13	1010798	20	4
2017-02-13	1013680	24	4
2017-02-13	1016564	10	4
2017-02-13	1017596	5	4
2017-02-13	1019819	5	4
2017-02-13	1021099	504	4
2017-02-13	1022957	50	4
2017-02-13	1023241	0	4
2017-02-14	1000975	2	4
2017-02-14	1001283	6	4
2017-02-14	1001297	25	4
2017-02-14	1001301	36	4
2017-02-14	1001379	64	4
2017-02-14	1001796	4	4
2017-02-14	1001805	12	4
2017-02-14	1001809	12	4
2017-02-14	1001816	60	4
2017-02-14	1002065	50	4
2017-02-14	1002071	44	4
2017-02-14	1002665439	44	4
2017-02-14	1002665880	40	4
2017-02-14	1002735040	44	4
2017-02-14	1003648	12	4
2017-02-14	1004542	20	4
