sku_id	dc_id	order_date	total_sales	sales_as_gift	sales_for_free	big_order_sales	special_order_sales	order_qtty	dt
1000797301	4	2017-03-10	1	0	0	0	0	1	2017-03-10
1000797301	4	2017-02-23	2	0	0	0	0	2	2017-02-23
1000797301	4	2017-03-01	1	0	0	0	0	1	2017-03-01
1000801309	4	2017-03-09	2	0	0	0	0	2	2017-03-09
1000801309	4	2017-02-26	1	0	0	0	0	1	2017-02-26
1000801309	4	2017-02-20	2	0	0	0	0	2	2017-02-20
1000801309	4	2017-03-06	1	0	0	0	0	1	2017-03-06
1000801309	4	2017-03-08	1	0	0	0	0	1	2017-03-08
1000801309	4	2017-02-22	1	0	0	0	0	1	2017-02-22
1000801309	4	2017-03-16	3	0	0	0	0	3	2017-03-16
1000801309	4	2017-03-14	2	0	0	0	0	2	2017-03-14
1000801309	4	2017-03-03	1	0	0	0	0	1	2017-03-03
1000801309	4	2017-03-02	1	0	0	0	0	1	2017-03-02
1000801309	4	2017-03-17	1	0	0	0	0	1	2017-03-17
1000867312	4	2017-03-13	1	0	0	0	0	1	2017-03-13
1000975	4	2017-03-16	1	0	0	0	0	1	2017-03-16
1000975	4	2017-03-02	1	0	0	0	0	1	2017-03-02
1000975	4	2017-02-20	1	0	0	0	0	1	2017-02-20
1000975	4	2017-03-07	1	0	0	0	0	1	2017-03-07
1001144995	4	2017-03-07	1	0	0	0	0	1	2017-03-07
1001144995	4	2017-03-10	1	0	0	0	0	1	2017-03-10
1001177818	4	2017-02-22	1	0	0	0	0	1	2017-02-22
1001177818	4	2017-02-20	1	0	0	0	0	1	2017-02-20
1001177818	4	2017-03-13	1	0	0	0	0	1	2017-03-13
1001177818	4	2017-03-08	2	0	0	0	0	2	2017-03-08
1001177818	4	2017-02-21	1	0	0	0	0	1	2017-02-21
1001177818	4	2017-02-23	1	0	0	0	0	1	2017-02-23
1001177818	4	2017-03-07	1	0	0	0	0	1	2017-03-07
1001177818	4	2017-03-20	2	0	0	0	0	2	2017-03-20
1001187130	4	2017-02-24	4	0	0	0	0	3	2017-02-24
1001187130	4	2017-03-07	1	0	0	0	0	1	2017-03-07
1001187130	4	2017-02-27	2	0	0	0	0	2	2017-02-27
1001187130	4	2017-02-25	1	0	0	0	0	1	2017-02-25
1001187130	4	2017-03-01	1	0	0	0	0	1	2017-03-01
1001194	4	2017-03-01	1	0	0	0	0	1	2017-03-01
1001194	4	2017-02-27	1	0	0	0	0	1	2017-02-27
1001194	4	2017-03-15	1	0	0	0	0	1	2017-03-15
1001194	4	2017-03-17	2	0	0	0	0	2	2017-03-17
1001215	4	2017-02-19	1	0	0	0	0	1	2017-02-19
1001215	4	2017-02-20	3	0	0	0	0	3	2017-02-20
1001226840	4	2017-03-06	1	0	0	0	0	1	2017-03-06
1001226840	4	2017-02-19	2	0	0	0	0	1	2017-02-19
1001226840	4	2017-03-15	3	0	0	0	0	2	2017-03-15
1001226840	4	2017-03-14	3	0	0	0	0	2	2017-03-14
