date,rdc,order_id,item_sku_id,arrive_quantity
2016/11/4,682,19354915,3874294,1
2016/11/4,682,15714051,3880242,0
2016/11/4,682,15179217,3881340,4
2016/11/4,682,16027660,3881458,9
2016/11/4,682,15072099,3882150,1
2016/11/4,682,17897382,3882600,25
2016/11/4,682,20395565,3882682,20
2016/11/4,682,16182930,3883122,15
2016/11/4,682,18314861,3883366,10
2016/11/4,682,20147261,3883654,0
2016/11/4,682,15078080,3884752,1
2016/11/4,682,18572345,3884996,15
2016/11/4,682,13945611,3886822,2
2016/11/4,682,16072159,3887056,1
2016/11/4,682,16247976,3887506,1000
2016/11/4,682,14856358,3887588,2
2016/11/4,682,14881615,3887632,0
2016/11/4,682,19508578,3887876,2
2016/11/4,682,17440795,3888154,2
2016/11/4,682,19416202,3888316,2
2016/11/4,682,19486603,3888398,8
2016/11/4,682,17753234,3888686,10
2016/11/4,682,19217301,3889702,60
2016/11/4,682,18204569,3889784,10
2016/11/4,682,15552520,3890700,50
2016/11/4,682,20261150,3891628,100
2016/11/4,682,14693703,3891754,2
2016/11/4,682,19046449,3892438,8
2016/11/4,682,16412196,3892564,0
2016/11/4,682,17110133,3893004,10
2016/11/4,682,17016966,3893086,10
2016/11/4,682,15192216,3893248,2
2016/11/4,682,18556582,3893374,1
2016/11/4,682,20518396,3893662,253
2016/11/4,682,17099946,3893824,4
2016/11/4,682,16973878,3893950,10
2016/11/4,682,18756062,3894922,231
2016/11/4,682,15611670,3895976,20
2016/11/4,682,16022280,3896010,12
2016/11/4,682,16565106,3896380,10
2016/11/4,682,17367236,3896786,9
2016/11/4,682,14560443,3896830,10
2016/11/4,682,18549149,3896948,6
2016/11/4,682,16729707,3897352,22
2016/11/4,682,17994387,3897514,9
2016/11/4,682,13729520,3898612,12
2016/11/4,682,19894536,3899378,0
2016/11/4,682,14883855,3899710,10
2016/11/4,682,18405343,3899954,15
2016/11/4,682,16801510,3901202,30
2016/11/4,682,18614010,3902544,150
2016/11/4,682,13779837,3902788,80
2016/11/4,682,18328663,3903480,20
2016/11/4,682,14600582,3904038,60
2016/11/4,682,16735862,3905794,144
2016/11/4,682,20367863,3906766,93
2016/11/4,682,14788308,3906892,13
2016/11/4,682,16395243,3907864,5
2016/11/4,682,19204235,3908016,20
2016/11/4,682,17201607,3908142,40
2016/11/4,682,18178210,3908548,30
2016/11/4,682,20031692,3909114,20
2016/11/4,682,13804963,3909240,136
2016/11/4,682,15481536,3909402,146
2016/11/4,682,17235937,3909484,179
2016/11/4,682,17681719,3909934,0
2016/11/4,682,17747663,3910356,71
2016/11/4,682,20136748,3910518,0
2016/11/4,682,17393127,3910806,0
2016/11/4,682,13834679,3911210,8
2016/11/4,682,14581349,3911292,25
2016/11/4,682,16646774,3911328,20
2016/11/4,682,18991128,3911616,6
2016/11/4,682,18210511,3911698,8
2016/11/4,682,20274433,3912264,6
2016/11/4,682,19255033,3912714,8
2016/11/4,682,18975432,3913236,516
2016/11/4,682,14222237,3914334,1000
2016/11/4,682,18228400,3915720,295
2016/11/4,682,18769154,3915964,108
2016/11/4,682,14704952,3916242,10
2016/11/4,682,14122071,3917584,40
2016/11/4,682,18417239,3918312,19
2016/11/4,682,14041051,3918394,6
2016/11/4,682,15742697,3918600,6
