actual_origin_rate,actual_plan_rate,actual_pur_qtty,band,day_string,item_sku_id,originalnum,plan_pur_qtty,pur_bill_id,supp_brevity_cd,supp_name,vlt
1.0,1.0,72.0,B,2016-08-15 00:00:00,2055453,72.0,72.0,18401320.0,weiai,无锡淘然居商贸有限公司,11
1.0,1.0,176.0,B,2016-08-22 00:00:00,2055453,176.0,176.0,18597061.0,weiai,无锡淘然居商贸有限公司,16
1.0,1.0,176.0,B,2016-09-06 00:00:00,2055453,176.0,176.0,19002857.0,weiai,无锡淘然居商贸有限公司,9
1.0,1.0,112.0,B,2016-09-12 00:00:00,2055453,112.0,112.0,19225015.0,weiai,无锡淘然居商贸有限公司,9
1.0,1.0,72.0,B,2016-09-19 00:00:00,2055453,72.0,72.0,19406348.0,weiai,无锡淘然居商贸有限公司,12
1.0,1.0,217.0,B,2016-09-27 00:00:00,2055453,217.0,217.0,19678474.0,weiai,无锡淘然居商贸有限公司,10
1.0,1.0,340.0,B,2016-10-08 00:00:00,2055453,340.0,340.0,19929107.0,weiai,无锡淘然居商贸有限公司,9
0.51993067590987874,1.0,300.0,B,2016-10-13 00:00:00,2055453,577.0,300.0,20123303.0,weiai,无锡淘然居商贸有限公司,28
1.0,1.0,381.0,B,2016-10-18 00:00:00,2055453,381.0,381.0,20345766.0,weiai,无锡淘然居商贸有限公司,23
1.0,1.0,10.0,E,2016-07-28 00:00:00,205944,10.0,10.0,17929702.0,jjsjxsm,九江市津熙商贸有限公司,1
1.0,1.0,10.0,E,2016-09-05 00:00:00,205944,10.0,10.0,18991177.0,jjsjxsm,九江市津熙商贸有限公司,9
1.0,1.0,10.0,E,2016-09-27 00:00:00,205944,10.0,10.0,19668315.0,jjsjxsm,九江市津熙商贸有限公司,14
1.0,1.0,8.0,E,2016-09-29 00:00:00,205944,8.0,8.0,19768289.0,jjsjxsm,九江市津熙商贸有限公司,13
1.0,1.0,20.0,E,2016-10-12 00:00:00,205944,20.0,20.0,20105368.0,jjsjxsm,九江市津熙商贸有限公司,14
0.78947368421052633,0.78947368421052633,15.0,E,2016-10-18 00:00:00,205944,19.0,19.0,20337194.0,jjsjxsm,九江市津熙商贸有限公司,13
1.0,1.0,1.0,L,2016-08-22 00:00:00,2086352,1.0,1.0,18577799.0,jmsorz,江门市欧润哲家居用品有限公司,10
1.0,1.0,4.0,L,2016-08-29 00:00:00,2086352,4.0,4.0,18788982.0,jmsorz,江门市欧润哲家居用品有限公司,12
1.0,1.0,2.0,L,2016-09-05 00:00:00,2086352,2.0,2.0,18991002.0,jmsorz,江门市欧润哲家居用品有限公司,10
1.0,1.0,2.0,L,2016-09-20 00:00:00,2086352,2.0,2.0,19424139.0,jmsorz,江门市欧润哲家居用品有限公司,9
0.0,0.0,0.0,L,2016-10-08 00:00:00,2086352,8.0,8.0,19922292.0,jmsorz,江门市欧润哲家居用品有限公司,8
0.875,0.875,7.0,L,2016-10-12 00:00:00,2086352,8.0,8.0,20105218.0,jmsorz,江门市欧润哲家居用品有限公司,15
1.0,1.0,3.0,L,2016-10-18 00:00:00,2086352,3.0,3.0,20337053.0,jmsorz,江门市欧润哲家居用品有限公司,12
1.0,1.0,2.0,E,2016-07-26 00:00:00,2098008,2.0,2.0,17880327.0,jmsorz,江门市欧润哲家居用品有限公司,10
